Date,Symbol,Open,High,Low,Close,Volume AAVE,Volume USDT,tradecount
2020-10-15 03:00:00,AAVEUSDT,51.43,59.0,46.437,47.099,13042.026,660778.581523,2695
2020-10-15 04:00:00,AAVEUSDT,47.097,47.916,46.158,47.486,4565.137,215196.020082,1360
2020-10-15 05:00:00,AAVEUSDT,47.429,49.746,47.428,49.0,5618.395,274054.480463,834
2020-10-15 06:00:00,AAVEUSDT,49.0,49.496,48.61,49.031,1977.936,96680.438072,564
2020-10-15 07:00:00,AAVEUSDT,49.15,49.208,48.61,49.0,3338.552,162595.346056,874
2020-10-15 08:00:00,AAVEUSDT,48.901,49.446,48.0,48.654,2041.204,99207.358573,431
2020-10-15 09:00:00,AAVEUSDT,48.406,48.646,45.681,46.121,6265.761,293140.326046,1573
2020-10-15 10:00:00,AAVEUSDT,46.2,47.017,44.514,44.668,8352.379,382778.64564,1177
2020-10-15 11:00:00,AAVEUSDT,44.629,46.072,44.392,45.871,6280.565,284352.447712,936
2020-10-15 12:00:00,AAVEUSDT,45.871,48.482,45.8,47.246,6372.672,303894.790437,1287
2020-10-15 13:00:00,AAVEUSDT,47.246,48.05,46.352,47.047,7072.342,334613.366959,1399
2020-10-15 14:00:00,AAVEUSDT,46.983,47.25,46.5,47.0,2439.205,114786.470801,564
2020-10-15 15:00:00,AAVEUSDT,47.201,48.017,46.9,47.297,2492.561,118390.115216,463
2020-10-15 16:00:00,AAVEUSDT,47.297,47.298,46.05,46.088,2297.109,107329.652123,614
2020-10-15 17:00:00,AAVEUSDT,46.085,48.0,45.889,46.484,2070.732,96600.725686,383
2020-10-15 18:00:00,AAVEUSDT,46.485,47.153,46.326,46.976,1368.806,64144.465794,231
2020-10-15 19:00:00,AAVEUSDT,46.976,47.997,46.936,47.462,1402.077,66590.698697,442
2020-10-15 20:00:00,AAVEUSDT,47.52,47.902,46.379,47.104,1741.464,82115.180676,491
2020-10-15 21:00:00,AAVEUSDT,47.185,47.5,45.673,46.026,2580.265,119382.90214,654
2020-10-15 22:00:00,AAVEUSDT,46.152,46.24,45.714,45.8,1295.72,59425.728808,196
2020-10-15 23:00:00,AAVEUSDT,45.801,45.891,42.747,42.999,16033.962,714903.012914,2002
2020-10-16 00:00:00,AAVEUSDT,43.017,43.542,42.0,42.73,11040.497,471217.246851,1464
2020-10-16 01:00:00,AAVEUSDT,42.756,43.8,42.492,43.79,5815.769,251890.086711,865
