Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
2019-04-29 04:00:00,ATOMUSDT,4.755,4.755,4.013,4.181,690466.65,2915925.887759,3663
2019-04-29 05:00:00,ATOMUSDT,4.157,4.17,3.83,4.059,180104.055,717517.590259,1540
2019-04-29 06:00:00,ATOMUSDT,4.069,4.105,3.977,4.034,69274.46,279657.96719,736
2019-04-29 07:00:00,ATOMUSDT,4.021,4.021,3.91,3.953,71914.21,284790.213355,666
2019-04-29 08:00:00,ATOMUSDT,3.953,4.003,3.842,3.969,54571.016,215068.172117,1055
2019-04-29 09:00:00,ATOMUSDT,3.97,4.002,3.796,3.868,46657.949,180908.762729,714
2019-04-29 10:00:00,ATOMUSDT,3.858,3.975,3.739,3.754,53557.89,206642.123518,813
2019-04-29 11:00:00,ATOMUSDT,3.749,3.869,3.723,3.854,53225.651,202034.866695,779
2019-04-29 12:00:00,ATOMUSDT,3.85,3.908,3.765,3.822,29270.749,112358.908623,549
2019-04-29 13:00:00,ATOMUSDT,3.822,3.871,3.725,3.871,32010.37,120747.912967,445
2019-04-29 14:00:00,ATOMUSDT,3.878,4.023,3.855,3.972,65919.448,261030.631145,865
2019-04-29 15:00:00,ATOMUSDT,3.969,4.019,3.95,3.96,28344.387,112622.358475,410
2019-04-29 16:00:00,ATOMUSDT,3.956,4.015,3.784,3.81,41558.943,161510.950887,668
2019-04-29 17:00:00,ATOMUSDT,3.823,3.854,3.768,3.817,60212.56,228095.838229,599
2019-04-29 18:00:00,ATOMUSDT,3.817,3.853,3.797,3.838,9924.661,37855.917004,224
2019-04-29 19:00:00,ATOMUSDT,3.85,3.895,3.813,3.826,6394.277,24558.566383,178
2019-04-29 20:00:00,ATOMUSDT,3.826,3.844,3.749,3.77,10421.264,39447.765909,240
2019-04-29 21:00:00,ATOMUSDT,3.75,3.779,3.683,3.74,13626.877,50694.525474,261
2019-04-29 22:00:00,ATOMUSDT,3.697,3.896,3.661,3.769,52393.987,198689.825959,553
2019-04-29 23:00:00,ATOMUSDT,3.738,3.795,3.71,3.777,9453.697,35465.227004,140
2019-04-30 00:00:00,ATOMUSDT,3.777,3.896,3.768,3.896,20935.536,80242.66307,475
2019-04-30 01:00:00,ATOMUSDT,3.896,4.075,3.881,3.926,113970.571,454541.416111,1738
2019-04-30 02:00:00,ATOMUSDT,3.927,4.05,3.87,3.918,34232.313,134677.130415,567
2019-04-30 03:00:00,ATOMUSDT,3.917,3.917,3.847,3.854,14420.845,55809.210126,171
2019-04-30 04:00:00,ATOMUSDT,3.872,3.872,3.75,3.765,21197.271,80624.916915,440
2019-04-30 05:00:00,ATOMUSDT,3.764,3.9,3.764,3.852,24600.166,94079.006772,413
2019-04-30 06:00:00,ATOMUSDT,3.825,3.857,3.773,3.794,10459.235,39756.64599,201
2019-04-30 07:00:00,ATOMUSDT,3.795,3.84,3.772,3.84,12500.091,47591.294512,274
2019-04-30 08:00:00,ATOMUSDT,3.84,3.905,3.821,3.83,17369.97,67003.872673,327
2019-04-30 09:00:00,ATOMUSDT,3.817,3.841,3.751,3.77,16632.649,63105.455784,208
2019-04-30 10:00:00,ATOMUSDT,3.794,3.92,3.772,3.92,15062.551,57991.822303,288
2019-04-30 11:00:00,ATOMUSDT,3.92,3.957,3.844,3.879,32912.313,128952.521606,506
2019-04-30 12:00:00,ATOMUSDT,3.879,3.946,3.86,3.882,22295.374,87089.774447,382
2019-04-30 13:00:00,ATOMUSDT,3.901,4.01,3.881,3.933,120865.568,477563.465784,978
2019-04-30 14:00:00,ATOMUSDT,3.933,3.98,3.901,3.904,41419.6,163590.57377,454
2019-04-30 15:00:00,ATOMUSDT,3.904,3.932,3.845,3.886,31754.936,123203.6042,357
2019-04-30 16:00:00,ATOMUSDT,3.86,3.887,3.818,3.874,24203.723,92822.120182,317
2019-04-30 17:00:00,ATOMUSDT,3.874,3.883,3.846,3.869,3718.36,14377.262507,97
2019-04-30 18:00:00,ATOMUSDT,3.876,3.9,3.868,3.891,3585.974,13928.392499,103
2019-04-30 19:00:00,ATOMUSDT,3.891,3.94,3.89,3.915,17250.102,67521.962992,191
2019-04-30 20:00:00,ATOMUSDT,3.915,3.981,3.915,3.929,12838.421,50941.101474,184
2019-04-30 21:00:00,ATOMUSDT,3.92,3.945,3.88,3.88,7048.682,27540.759517,130
2019-04-30 22:00:00,ATOMUSDT,3.9,3.938,3.855,3.87,9209.437,35722.812917,161
2019-04-30 23:00:00,ATOMUSDT,3.872,3.967,3.872,3.917,9946.651,39022.125765,221
2019-05-01 00:00:00,ATOMUSDT,3.913,4.005,3.876,3.954,35563.774,141186.686323,588
2019-05-01 01:00:00,ATOMUSDT,3.949,4.146,3.948,4.03,59342.15,240385.446918,850
2019-05-01 02:00:00,ATOMUSDT,4.02,4.26,4.014,4.185,69967.085,290869.011491,1219
2019-05-01 03:00:00,ATOMUSDT,4.189,4.211,4.022,4.12,53088.719,219306.779934,904
2019-05-01 04:00:00,ATOMUSDT,4.125,4.125,4.037,4.038,29670.912,120773.63042,470
2019-05-01 05:00:00,ATOMUSDT,4.038,4.18,4.038,4.173,45429.997,187521.541602,553
2019-05-01 06:00:00,ATOMUSDT,4.176,4.215,4.105,4.18,50842.762,212069.352884,783
