Date,Symbol,Open,High,Low,Close,Volume CRV,Volume USDT,tradecount
2020-08-15 04:00:00,CRVUSDT,5.0,23.255,5.0,13.749,764275.452,11984401.191511,30303
2020-08-15 05:00:00,CRVUSDT,13.653,13.655,10.701,11.849,290676.01,3451548.823127,9289
2020-08-15 06:00:00,CRVUSDT,11.823,11.839,11.0,11.35,102237.799,1166408.267829,3441
2020-08-15 07:00:00,CRVUSDT,11.35,11.468,10.17,10.35,122824.677,1314027.547549,4482
2020-08-15 08:00:00,CRVUSDT,10.383,10.6,8.7,8.82,212405.16,2022210.857801,6770
2020-08-15 09:00:00,CRVUSDT,8.82,9.337,7.933,8.157,239363.088,2041553.664832,6902
2020-08-15 10:00:00,CRVUSDT,8.151,8.21,7.4,7.45,173885.286,1340935.787445,5401
2020-08-15 11:00:00,CRVUSDT,7.441,7.441,5.925,6.137,249665.597,1671538.640941,6725
2020-08-15 12:00:00,CRVUSDT,6.163,11.22,6.035,9.995,949940.596,8144407.652828,18580
2020-08-15 13:00:00,CRVUSDT,9.95,10.5,8.657,9.63,559552.073,5317280.236004,11316
2020-08-15 14:00:00,CRVUSDT,9.63,9.75,8.91,9.055,202694.551,1884489.138167,4178
2020-08-15 15:00:00,CRVUSDT,9.055,9.45,8.555,8.83,182486.993,1639117.276811,4086
2020-08-15 16:00:00,CRVUSDT,8.812,9.2,8.77,8.821,86832.928,776885.030629,1981
2020-08-15 17:00:00,CRVUSDT,8.821,8.841,7.53,8.211,280823.355,2302437.602272,6728
2020-08-15 18:00:00,CRVUSDT,8.215,8.77,8.05,8.562,96876.72,819624.71642,2346
2020-08-15 19:00:00,CRVUSDT,8.535,8.698,7.99,8.002,88936.829,731898.689219,1969
2020-08-15 20:00:00,CRVUSDT,7.994,8.129,7.6,7.712,100146.046,787845.055037,2424
2020-08-15 21:00:00,CRVUSDT,7.71,7.942,7.28,7.836,106378.849,804626.121042,2382
2020-08-15 22:00:00,CRVUSDT,7.836,7.894,7.14,7.395,81340.082,600854.111913,2313
2020-08-15 23:00:00,CRVUSDT,7.395,7.398,6.8,6.91,123390.33,870489.618866,3253
2020-08-16 00:00:00,CRVUSDT,6.91,7.696,6.819,7.449,188891.383,1394746.329955,3698
2020-08-16 01:00:00,CRVUSDT,7.449,7.449,6.513,6.622,166668.834,1145836.590067,3254
2020-08-16 02:00:00,CRVUSDT,6.631,6.9,6.23,6.552,257405.845,1667250.434163,5475
2020-08-16 03:00:00,CRVUSDT,6.567,6.85,6.31,6.437,124679.553,818902.936597,2840
2020-08-16 04:00:00,CRVUSDT,6.436,7.294,6.382,7.288,164748.34,1135193.103548,3388
2020-08-16 05:00:00,CRVUSDT,7.26,7.433,6.557,6.864,257386.117,1782808.255967,3764
2020-08-16 06:00:00,CRVUSDT,6.863,7.101,6.723,6.82,165059.617,1141457.297796,2712
2020-08-16 07:00:00,CRVUSDT,6.83,6.968,6.633,6.66,86283.379,582634.33834,1635
2020-08-16 08:00:00,CRVUSDT,6.679,6.839,6.389,6.729,160939.154,1056754.552665,3035
2020-08-16 09:00:00,CRVUSDT,6.732,6.838,6.454,6.561,136875.949,906741.948389,2470
2020-08-16 10:00:00,CRVUSDT,6.561,6.61,6.468,6.52,68784.215,448903.480236,1551
2020-08-16 11:00:00,CRVUSDT,6.514,6.6,6.372,6.418,110023.573,713434.764312,1954
2020-08-16 12:00:00,CRVUSDT,6.41,6.632,6.2,6.604,149833.878,957002.694151,3047
2020-08-16 13:00:00,CRVUSDT,6.624,6.64,6.33,6.447,108252.164,698364.337883,2115
2020-08-16 14:00:00,CRVUSDT,6.447,6.46,6.233,6.292,113597.39,719321.772465,2371
2020-08-16 15:00:00,CRVUSDT,6.292,6.399,6.233,6.346,91345.83,576929.563779,1773
2020-08-16 16:00:00,CRVUSDT,6.345,6.617,6.26,6.4,176361.945,1128845.259311,2750
2020-08-16 17:00:00,CRVUSDT,6.4,6.439,6.291,6.313,48567.567,309330.788834,1394
2020-08-16 18:00:00,CRVUSDT,6.313,6.399,6.268,6.31,63648.721,402027.43735,1413
2020-08-16 19:00:00,CRVUSDT,6.325,6.349,6.27,6.31,57792.294,365004.103269,949
2020-08-16 20:00:00,CRVUSDT,6.322,6.344,6.04,6.09,167735.331,1036928.190455,3232
2020-08-16 21:00:00,CRVUSDT,6.089,6.14,5.954,6.077,116967.862,705818.498084,3729
2020-08-16 22:00:00,CRVUSDT,6.077,6.3,6.0,6.111,107489.759,655322.723391,3128
2020-08-16 23:00:00,CRVUSDT,6.074,6.1,5.734,5.782,134896.36,797917.709349,4452
2020-08-17 00:00:00,CRVUSDT,5.781,5.94,5.365,5.388,192028.308,1077337.879702,5324
2020-08-17 01:00:00,CRVUSDT,5.387,5.522,5.133,5.485,260900.383,1395721.697192,4447
2020-08-17 02:00:00,CRVUSDT,5.484,5.55,5.22,5.28,134685.959,715342.602169,2641
2020-08-17 03:00:00,CRVUSDT,5.277,5.374,5.103,5.104,105443.217,550848.44742,2197
2020-08-17 04:00:00,CRVUSDT,5.105,5.14,5.06,5.08,137471.388,699903.340754,2384
2020-08-17 05:00:00,CRVUSDT,5.08,5.4,5.08,5.333,143414.371,750238.697631,3065
2020-08-17 06:00:00,CRVUSDT,5.283,5.539,5.23,5.312,174874.522,939248.329458,3228
2020-08-17 07:00:00,CRVUSDT,5.312,5.363,4.85,5.003,254948.834,1296946.391046,4783
2020-08-17 08:00:00,CRVUSDT,5.004,5.004,4.718,4.926,247800.683,1199244.657701,4690
2020-08-17 09:00:00,CRVUSDT,4.927,5.099,4.8,4.82,204154.064,1003953.203481,3609
2020-08-17 10:00:00,CRVUSDT,4.819,4.876,4.477,4.532,326116.978,1512722.969733,5249
2020-08-17 11:00:00,CRVUSDT,4.535,4.748,4.36,4.517,383178.169,1758492.622377,6272
2020-08-17 12:00:00,CRVUSDT,4.517,4.799,4.473,4.72,165853.139,777593.149367,3126
2020-08-17 13:00:00,CRVUSDT,4.72,4.756,4.31,4.417,224255.663,1012136.031285,4655
2020-08-17 14:00:00,CRVUSDT,4.432,4.498,4.2,4.235,230903.237,994630.874115,4633
2020-08-17 15:00:00,CRVUSDT,4.236,4.56,4.182,4.3,250672.412,1094742.916323,6228
2020-08-17 16:00:00,CRVUSDT,4.308,4.5,4.255,4.422,149254.841,651868.446115,3993
2020-08-17 17:00:00,CRVUSDT,4.419,4.563,4.351,4.41,126999.182,565454.441128,3828
2020-08-17 18:00:00,CRVUSDT,4.409,5.04,4.407,4.908,369608.363,1761792.475026,7223
2020-08-17 19:00:00,CRVUSDT,4.91,5.09,4.655,4.711,234405.737,1126598.998519,5281
2020-08-17 20:00:00,CRVUSDT,4.712,4.863,4.65,4.694,85523.912,404698.975517,3101
2020-08-17 21:00:00,CRVUSDT,4.694,4.78,4.471,4.62,106439.509,489214.386949,3031
2020-08-17 22:00:00,CRVUSDT,4.608,4.823,4.512,4.563,97808.967,454183.201539,3010
2020-08-17 23:00:00,CRVUSDT,4.575,4.62,4.3,4.38,120135.523,530373.224649,2661
2020-08-18 00:00:00,CRVUSDT,4.375,4.486,4.2,4.309,140173.759,604082.626183,2285
2020-08-18 01:00:00,CRVUSDT,4.309,4.336,4.101,4.149,134539.938,564628.216743,3404
2020-08-18 02:00:00,CRVUSDT,4.142,4.153,3.82,3.831,292748.104,1159788.991811,7081
2020-08-18 03:00:00,CRVUSDT,3.832,3.969,3.73,3.825,198152.804,760504.144884,4715
2020-08-18 04:00:00,CRVUSDT,3.825,3.979,3.75,3.82,169366.013,651272.699542,3932
2020-08-18 05:00:00,CRVUSDT,3.823,3.9,3.553,3.654,271141.105,997534.282031,3595
2020-08-18 06:00:00,CRVUSDT,3.65,3.8,3.359,3.523,425797.57,1502902.949736,6272
2020-08-18 07:00:00,CRVUSDT,3.526,3.63,3.376,3.416,208320.138,728376.145764,3402
2020-08-18 08:00:00,CRVUSDT,3.416,3.811,3.389,3.592,306614.696,1101910.685177,5520
2020-08-18 09:00:00,CRVUSDT,3.603,3.851,3.5,3.841,191617.415,706032.731244,4178
2020-08-18 10:00:00,CRVUSDT,3.841,4.112,3.739,3.765,411135.93,1605712.763031,5400
2020-08-18 11:00:00,CRVUSDT,3.756,3.879,3.665,3.713,206229.944,773554.262726,2948
2020-08-18 12:00:00,CRVUSDT,3.713,3.837,3.6,3.646,173321.945,636603.003095,2838
2020-08-18 13:00:00,CRVUSDT,3.644,3.721,3.36,3.396,228732.177,806002.575123,3005
2020-08-18 14:00:00,CRVUSDT,3.396,3.539,3.173,3.351,308791.353,1026648.104246,3752
2020-08-18 15:00:00,CRVUSDT,3.35,3.519,3.272,3.384,217188.795,743095.421479,3138
2020-08-18 16:00:00,CRVUSDT,3.384,3.8,3.375,3.508,196685.749,697728.448855,3041
2020-08-18 17:00:00,CRVUSDT,3.511,3.788,3.469,3.59,260372.312,934342.579175,3572
2020-08-18 18:00:00,CRVUSDT,3.567,3.581,3.428,3.494,96578.947,339034.733993,1836
2020-08-18 19:00:00,CRVUSDT,3.496,3.777,3.481,3.64,166286.494,605365.228869,2766
