Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume USDT,tradecount
2019-04-26 15:00:00,MATICUSDT,0.00263,0.01052,0.00263,0.0063,1429346565.0,8647084.915092,17898
2019-04-26 16:00:00,MATICUSDT,0.0063,0.0063,0.0056,0.00579,219023470.8,1290525.511272,3049
2019-04-26 17:00:00,MATICUSDT,0.0058,0.0058,0.00513,0.00531,173916278.7,953376.136343,1961
2019-04-26 18:00:00,MATICUSDT,0.00531,0.00553,0.00497,0.005,119505123.5,626902.974523,1588
2019-04-26 19:00:00,MATICUSDT,0.005,0.00514,0.00481,0.00495,82822732.9,410616.570903,1391
2019-04-26 20:00:00,MATICUSDT,0.00496,0.00527,0.00486,0.00513,52001957.5,264761.53606,1086
2019-04-26 21:00:00,MATICUSDT,0.00515,0.00543,0.00512,0.00538,29460597.9,156836.856838,550
2019-04-26 22:00:00,MATICUSDT,0.0054,0.00581,0.00539,0.00575,75104245.2,423732.209165,1075
2019-04-26 23:00:00,MATICUSDT,0.00577,0.00579,0.00533,0.00545,70632362.2,392107.289455,1185
2019-04-27 00:00:00,MATICUSDT,0.00543,0.00568,0.00543,0.00555,25342733.7,140477.393708,445
2019-04-27 01:00:00,MATICUSDT,0.00556,0.00571,0.00556,0.00559,29776063.1,167646.469216,468
2019-04-27 02:00:00,MATICUSDT,0.00559,0.00582,0.00556,0.00569,51307010.4,292521.668174,759
2019-04-27 03:00:00,MATICUSDT,0.00568,0.00586,0.00549,0.00553,37586137.4,212504.10696,585
2019-04-27 04:00:00,MATICUSDT,0.00555,0.00555,0.00531,0.00549,25799196.4,139645.5827,403
2019-04-27 05:00:00,MATICUSDT,0.0055,0.00557,0.00543,0.00548,6578057.5,36133.144645,216
2019-04-27 06:00:00,MATICUSDT,0.00548,0.00552,0.0054,0.00544,8708827.0,47723.081935,152
2019-04-27 07:00:00,MATICUSDT,0.00546,0.00554,0.00523,0.0053,35373785.0,188243.204243,559
2019-04-27 08:00:00,MATICUSDT,0.00532,0.00532,0.00516,0.00516,16639277.2,87328.538395,269
2019-04-27 09:00:00,MATICUSDT,0.00517,0.00531,0.00516,0.00528,17378281.1,90735.405033,314
2019-04-27 10:00:00,MATICUSDT,0.00527,0.00528,0.00516,0.00525,5615459.1,29334.819521,141
2019-04-27 11:00:00,MATICUSDT,0.00523,0.00562,0.00523,0.00553,43135167.5,236742.817137,737
2019-04-27 12:00:00,MATICUSDT,0.00555,0.00557,0.00535,0.00541,18775302.2,101952.755509,386
2019-04-27 13:00:00,MATICUSDT,0.0054,0.00546,0.00539,0.00539,11221078.7,60900.936555,201
2019-04-27 14:00:00,MATICUSDT,0.00539,0.00549,0.00532,0.00547,20274227.9,109640.940114,379
2019-04-27 15:00:00,MATICUSDT,0.00547,0.0055,0.0053,0.0053,20412016.8,109743.917329,297
2019-04-27 16:00:00,MATICUSDT,0.00532,0.00537,0.00522,0.00529,13170866.0,69653.609395,322
2019-04-27 17:00:00,MATICUSDT,0.00529,0.00532,0.00518,0.00525,21799992.0,114406.224045,311
2019-04-27 18:00:00,MATICUSDT,0.00524,0.00531,0.00523,0.00527,7791781.0,41139.853271,147
2019-04-27 19:00:00,MATICUSDT,0.00527,0.00534,0.00526,0.00531,7316499.0,38889.367412,163
2019-04-27 20:00:00,MATICUSDT,0.00531,0.00532,0.00523,0.00525,5798641.1,30604.604093,98
2019-04-27 21:00:00,MATICUSDT,0.00524,0.00526,0.00521,0.00522,5361084.1,28089.945839,107
2019-04-27 22:00:00,MATICUSDT,0.00522,0.00527,0.0052,0.00523,2241800.8,11725.55967,62
2019-04-27 23:00:00,MATICUSDT,0.00526,0.00527,0.0052,0.00521,2935735.0,15334.084583,70
2019-04-28 00:00:00,MATICUSDT,0.00521,0.00524,0.00505,0.00506,22545952.6,115666.796568,338
2019-04-28 01:00:00,MATICUSDT,0.00506,0.00515,0.00497,0.00501,25894637.0,131240.585136,300
2019-04-28 02:00:00,MATICUSDT,0.005,0.00501,0.00485,0.00488,23051461.0,113566.717618,418
2019-04-28 03:00:00,MATICUSDT,0.00489,0.00501,0.00486,0.00498,17254448.7,85139.638898,315
2019-04-28 04:00:00,MATICUSDT,0.00499,0.00506,0.00491,0.00504,7748341.9,38591.493447,149
2019-04-28 05:00:00,MATICUSDT,0.00504,0.00508,0.00486,0.00492,19841729.0,98464.381489,340
2019-04-28 06:00:00,MATICUSDT,0.00492,0.00497,0.00491,0.00497,7001945.7,34623.104115,132
2019-04-28 07:00:00,MATICUSDT,0.00496,0.005,0.00494,0.00494,3135113.2,15569.814365,74
2019-04-28 08:00:00,MATICUSDT,0.00495,0.00515,0.00495,0.00506,19403262.2,98103.639127,309
2019-04-28 09:00:00,MATICUSDT,0.00506,0.00506,0.00493,0.00495,9667723.4,48080.313762,140
2019-04-28 10:00:00,MATICUSDT,0.00498,0.00498,0.00489,0.00495,12397950.6,61143.093616,213
2019-04-28 11:00:00,MATICUSDT,0.00494,0.00507,0.00493,0.005,11969688.0,59986.67207,157
2019-04-28 12:00:00,MATICUSDT,0.00501,0.00527,0.005,0.00505,48061122.4,246895.621931,639
2019-04-28 13:00:00,MATICUSDT,0.00506,0.0051,0.0049,0.0049,17620816.2,87811.359303,226
2019-04-28 14:00:00,MATICUSDT,0.0049,0.005,0.00479,0.00483,51973938.8,252122.346943,589
2019-04-28 15:00:00,MATICUSDT,0.00483,0.00486,0.0047,0.00473,30534614.3,145954.760546,464
2019-04-28 16:00:00,MATICUSDT,0.00473,0.00476,0.00462,0.00474,20773535.8,97595.040513,478
2019-04-28 17:00:00,MATICUSDT,0.00474,0.00475,0.00458,0.0046,18821457.9,87680.839031,356
2019-04-28 18:00:00,MATICUSDT,0.00461,0.00464,0.00445,0.00446,26174415.7,118212.979494,523
2019-04-28 19:00:00,MATICUSDT,0.00446,0.00457,0.0044,0.00452,14637061.6,65729.329007,379
2019-04-28 20:00:00,MATICUSDT,0.00453,0.00462,0.00448,0.00449,15079761.9,68712.74169,327
2019-04-28 21:00:00,MATICUSDT,0.00448,0.00449,0.00438,0.00441,11073528.7,48995.835543,159
2019-04-28 22:00:00,MATICUSDT,0.00441,0.00446,0.00434,0.00442,15687243.9,68888.750031,257
2019-04-28 23:00:00,MATICUSDT,0.00441,0.00445,0.00434,0.00442,6834221.0,29989.131108,181
2019-04-29 00:00:00,MATICUSDT,0.00442,0.00444,0.00437,0.00441,5892417.1,25963.950764,157
2019-04-29 01:00:00,MATICUSDT,0.00442,0.00445,0.00421,0.00424,27268636.8,117074.710439,423
2019-04-29 02:00:00,MATICUSDT,0.00424,0.00443,0.00421,0.00438,20674412.1,89022.011972,360
2019-04-29 03:00:00,MATICUSDT,0.00438,0.00456,0.00438,0.00448,21557864.6,96474.053499,448
2019-04-29 04:00:00,MATICUSDT,0.00447,0.00448,0.00431,0.00438,36236633.6,159073.778201,464
2019-04-29 05:00:00,MATICUSDT,0.00439,0.00444,0.00426,0.00431,11746640.8,50962.943468,248
2019-04-29 06:00:00,MATICUSDT,0.00429,0.00434,0.00428,0.00428,4773769.8,20528.011493,122
2019-04-29 07:00:00,MATICUSDT,0.00427,0.00428,0.00423,0.00426,8426316.8,35863.080106,172
2019-04-29 08:00:00,MATICUSDT,0.00427,0.0043,0.00423,0.00427,8282695.7,35296.666516,159
2019-04-29 09:00:00,MATICUSDT,0.00427,0.00427,0.00406,0.00406,34007905.3,141055.494269,485
2019-04-29 10:00:00,MATICUSDT,0.00408,0.00409,0.0039,0.00393,38786499.1,154821.117194,579
2019-04-29 11:00:00,MATICUSDT,0.00393,0.00399,0.0039,0.00398,10022050.4,39563.781002,231
2019-04-29 12:00:00,MATICUSDT,0.00397,0.00406,0.00378,0.00382,52637866.2,203767.282421,589
2019-04-29 13:00:00,MATICUSDT,0.00382,0.00389,0.00373,0.00388,28495513.8,108565.357104,361
2019-04-29 14:00:00,MATICUSDT,0.00389,0.00402,0.00384,0.00393,69124237.2,273714.516871,712
2019-04-29 15:00:00,MATICUSDT,0.00393,0.00394,0.00383,0.00387,10955904.3,42438.005209,179
2019-04-29 16:00:00,MATICUSDT,0.00386,0.00398,0.00386,0.00394,15636409.4,61254.976132,232
2019-04-29 17:00:00,MATICUSDT,0.00392,0.00395,0.00383,0.00383,8662992.7,33559.140226,121
2019-04-29 18:00:00,MATICUSDT,0.00383,0.00388,0.0038,0.00382,5842997.8,22309.902992,132
2019-04-29 19:00:00,MATICUSDT,0.00385,0.00388,0.00381,0.00386,2794162.6,10682.547863,70
2019-04-29 20:00:00,MATICUSDT,0.00387,0.00396,0.0037,0.0038,46918832.8,179558.109145,312
2019-04-29 21:00:00,MATICUSDT,0.00379,0.00383,0.00374,0.00375,13992155.5,53144.926239,150
2019-04-29 22:00:00,MATICUSDT,0.00376,0.00381,0.00354,0.00357,16414887.9,59708.68722,306
2019-04-29 23:00:00,MATICUSDT,0.00357,0.00371,0.00343,0.00347,21405782.3,75775.520985,309
2019-04-30 00:00:00,MATICUSDT,0.00346,0.00371,0.00346,0.00361,16659822.0,59905.525574,353
2019-04-30 01:00:00,MATICUSDT,0.0036,0.00381,0.00356,0.00374,12066920.2,44422.665803,205
2019-04-30 02:00:00,MATICUSDT,0.00375,0.00391,0.00374,0.00379,18943436.2,72858.369424,305
2019-04-30 03:00:00,MATICUSDT,0.00379,0.00386,0.0037,0.00374,16354066.9,62052.613273,298
2019-04-30 04:00:00,MATICUSDT,0.00372,0.00377,0.00364,0.00369,5906410.3,21754.578302,129
2019-04-30 05:00:00,MATICUSDT,0.0037,0.0038,0.00361,0.00364,17418994.3,63995.079766,192
2019-04-30 06:00:00,MATICUSDT,0.00365,0.00378,0.00362,0.00368,6705974.7,24699.322157,166
2019-04-30 07:00:00,MATICUSDT,0.0037,0.00374,0.00365,0.0037,7727747.0,28382.662645,130
2019-04-30 08:00:00,MATICUSDT,0.00371,0.00374,0.00365,0.00366,2887717.0,10640.350517,77
2019-04-30 09:00:00,MATICUSDT,0.00366,0.00371,0.0036,0.00366,5232844.2,19050.401713,101
2019-04-30 10:00:00,MATICUSDT,0.00366,0.0039,0.00366,0.00383,23457364.0,88853.615188,351
