Date,Symbol,Open,High,Low,Close,Volume SUSHI,Volume USDT,tradecount
2020-09-01 11:00:00,SUSHIUSDT,6.08,15.97,6.08,10.68,1973917.073,22951197.502062,33610
2020-09-01 12:00:00,SUSHIUSDT,10.679,11.49,10.1,10.906,756307.741,8241873.871428,13534
2020-09-01 13:00:00,SUSHIUSDT,10.905,10.918,9.463,9.934,801510.45,8173239.351257,15155
2020-09-01 14:00:00,SUSHIUSDT,9.917,10.87,9.35,10.848,784286.785,7830416.66053,13810
2020-09-01 15:00:00,SUSHIUSDT,10.848,10.985,9.88,10.22,709953.023,7332187.027442,12660
2020-09-01 16:00:00,SUSHIUSDT,10.22,10.888,9.805,10.129,497659.567,5090705.41295,10409
2020-09-01 17:00:00,SUSHIUSDT,10.121,10.917,10.051,10.451,392647.768,4101366.627689,8496
2020-09-01 18:00:00,SUSHIUSDT,10.46,10.67,10.364,10.366,185948.208,1954627.721407,4352
2020-09-01 19:00:00,SUSHIUSDT,10.38,10.415,10.037,10.166,246411.785,2527061.379858,3919
2020-09-01 20:00:00,SUSHIUSDT,10.168,10.769,9.95,10.5,389719.541,4011750.556892,7963
2020-09-01 21:00:00,SUSHIUSDT,10.498,10.734,9.88,10.111,466834.398,4756126.177974,10363
2020-09-01 22:00:00,SUSHIUSDT,10.11,10.15,9.399,9.789,461741.288,4527077.710227,9029
2020-09-01 23:00:00,SUSHIUSDT,9.785,9.806,8.6,8.804,505346.612,4601254.077451,10658
2020-09-02 00:00:00,SUSHIUSDT,8.806,9.5,7.82,7.82,559133.708,4768289.459388,9755
2020-09-02 01:00:00,SUSHIUSDT,7.823,8.038,7.15,7.338,789696.589,5914660.130925,12866
2020-09-02 02:00:00,SUSHIUSDT,7.331,7.878,6.749,7.692,870602.244,6361013.87415,12808
2020-09-02 03:00:00,SUSHIUSDT,7.69,8.189,7.566,8.039,549590.011,4316093.762464,8514
2020-09-02 04:00:00,SUSHIUSDT,8.037,8.037,7.241,7.714,461175.502,3529296.782671,6908
2020-09-02 05:00:00,SUSHIUSDT,7.712,7.769,7.265,7.276,297629.402,2231697.046141,4743
2020-09-02 06:00:00,SUSHIUSDT,7.276,7.543,7.107,7.299,401427.824,2916740.35861,6183
2020-09-02 07:00:00,SUSHIUSDT,7.286,7.79,7.266,7.37,321174.534,2420956.956768,5098
2020-09-02 08:00:00,SUSHIUSDT,7.363,7.624,7.254,7.405,304676.229,2265034.490897,5246
2020-09-02 09:00:00,SUSHIUSDT,7.43,7.734,7.4,7.569,320969.812,2429101.288949,5097
2020-09-02 10:00:00,SUSHIUSDT,7.563,7.593,6.75,6.834,705479.801,5024109.934037,9256
2020-09-02 11:00:00,SUSHIUSDT,6.839,6.882,5.944,6.721,890796.93,5771621.190182,12962
2020-09-02 12:00:00,SUSHIUSDT,6.721,7.168,6.644,6.839,592056.897,4076921.407532,8434
2020-09-02 13:00:00,SUSHIUSDT,6.837,7.184,6.6,6.782,444566.342,3061757.728444,6942
2020-09-02 14:00:00,SUSHIUSDT,6.772,6.825,6.346,6.43,332903.643,2204733.822928,5149
2020-09-02 15:00:00,SUSHIUSDT,6.422,6.667,5.992,6.178,485664.609,3099242.403057,7297
2020-09-02 16:00:00,SUSHIUSDT,6.178,6.792,6.064,6.281,623457.471,3978865.534162,9408
2020-09-02 17:00:00,SUSHIUSDT,6.281,6.659,6.2,6.508,448225.839,2886144.260671,7503
2020-09-02 18:00:00,SUSHIUSDT,6.502,6.9,6.5,6.808,399515.029,2691730.582325,5781
2020-09-02 19:00:00,SUSHIUSDT,6.815,6.916,6.656,6.866,177860.45,1209147.394064,3015
2020-09-02 20:00:00,SUSHIUSDT,6.871,6.944,6.668,6.787,208751.689,1419040.753422,3794
2020-09-02 21:00:00,SUSHIUSDT,6.794,7.38,6.539,6.916,445174.727,3103776.469204,7538
2020-09-02 22:00:00,SUSHIUSDT,6.915,7.28,6.88,7.259,338856.349,2404668.711755,5553
2020-09-02 23:00:00,SUSHIUSDT,7.253,7.399,7.086,7.245,324115.633,2341668.447002,5239
2020-09-03 00:00:00,SUSHIUSDT,7.242,7.699,7.018,7.63,444385.819,3303945.533624,6764
2020-09-03 01:00:00,SUSHIUSDT,7.631,8.865,7.459,8.441,1394865.017,11575684.217425,20178
2020-09-03 02:00:00,SUSHIUSDT,8.441,8.945,8.182,8.195,854109.908,7339273.476397,15022
2020-09-03 03:00:00,SUSHIUSDT,8.189,8.74,7.722,7.851,941336.192,7730864.920351,14840
2020-09-03 04:00:00,SUSHIUSDT,7.864,8.2,7.325,7.514,630027.583,4923738.217521,10918
2020-09-03 05:00:00,SUSHIUSDT,7.52,7.8,7.195,7.31,468583.818,3513881.41689,7828
2020-09-03 06:00:00,SUSHIUSDT,7.313,7.453,7.01,7.105,544849.631,3936650.301488,7945
2020-09-03 07:00:00,SUSHIUSDT,7.107,7.3,6.824,7.088,595671.384,4201260.35479,7791
2020-09-03 08:00:00,SUSHIUSDT,7.093,7.515,7.083,7.367,429167.019,3130846.762754,5513
2020-09-03 09:00:00,SUSHIUSDT,7.366,7.572,7.27,7.291,368946.802,2741841.724165,4873
2020-09-03 10:00:00,SUSHIUSDT,7.285,7.441,6.814,6.88,582072.496,4178924.759499,7748
2020-09-03 11:00:00,SUSHIUSDT,6.872,7.126,5.526,5.857,1631432.51,10003946.13219,22607
2020-09-03 12:00:00,SUSHIUSDT,5.863,5.998,5.049,5.656,1142734.245,6332662.713395,14833
2020-09-03 13:00:00,SUSHIUSDT,5.656,6.15,5.656,6.082,702313.047,4141978.03879,11568
2020-09-03 14:00:00,SUSHIUSDT,6.091,6.28,5.9,6.106,552911.122,3359387.049429,8328
2020-09-03 15:00:00,SUSHIUSDT,6.097,6.141,5.565,5.823,610239.731,3553484.210714,7126
2020-09-03 16:00:00,SUSHIUSDT,5.823,6.056,5.68,5.887,572099.026,3387781.313775,6728
2020-09-03 17:00:00,SUSHIUSDT,5.89,6.538,5.873,6.269,556947.382,3477108.84166,6769
2020-09-03 18:00:00,SUSHIUSDT,6.268,6.3,5.91,6.0,334692.728,2037622.234658,4633
2020-09-03 19:00:00,SUSHIUSDT,6.0,6.035,5.753,5.762,228311.797,1341256.801216,3428
2020-09-03 20:00:00,SUSHIUSDT,5.767,5.945,5.7,5.82,179843.28,1045012.107937,2397
2020-09-03 21:00:00,SUSHIUSDT,5.824,5.824,5.41,5.505,209174.373,1171497.03559,2770
2020-09-03 22:00:00,SUSHIUSDT,5.509,5.702,5.222,5.456,263660.389,1432692.804393,3571
2020-09-03 23:00:00,SUSHIUSDT,5.484,5.485,4.56,4.86,521732.623,2607906.014396,4973
2020-09-04 00:00:00,SUSHIUSDT,4.86,5.124,4.575,4.986,453623.171,2223304.078107,5281
2020-09-04 01:00:00,SUSHIUSDT,4.998,5.4,4.96,5.031,436144.67,2246535.551949,4609
2020-09-04 02:00:00,SUSHIUSDT,5.032,5.081,4.71,4.967,379871.906,1851344.3303,4712
2020-09-04 03:00:00,SUSHIUSDT,4.967,4.97,4.735,4.81,215169.459,1047354.921247,2556
2020-09-04 04:00:00,SUSHIUSDT,4.803,4.998,4.743,4.921,496241.504,2425109.188601,5553
2020-09-04 05:00:00,SUSHIUSDT,4.931,5.15,4.86,5.09,420753.545,2099231.390842,4656
2020-09-04 06:00:00,SUSHIUSDT,5.083,5.12,4.77,4.771,246498.815,1214507.836368,2360
2020-09-04 07:00:00,SUSHIUSDT,4.77,5.05,4.344,4.853,616984.451,2922975.812075,8380
2020-09-04 08:00:00,SUSHIUSDT,4.832,5.15,4.816,5.074,627956.38,3144287.157121,6952
2020-09-04 09:00:00,SUSHIUSDT,5.073,5.677,4.962,5.398,1063347.484,5582756.961298,11657
2020-09-04 10:00:00,SUSHIUSDT,5.397,5.773,5.3,5.669,708854.9,3940825.959839,10487
2020-09-04 11:00:00,SUSHIUSDT,5.67,5.671,5.23,5.428,624875.609,3373887.05606,8097
2020-09-04 12:00:00,SUSHIUSDT,5.425,5.549,5.24,5.341,465546.952,2500893.029784,6687
2020-09-04 13:00:00,SUSHIUSDT,5.349,5.4,5.055,5.084,485324.795,2545922.764406,5428
2020-09-04 14:00:00,SUSHIUSDT,5.081,5.114,4.3,4.699,988553.373,4683373.52478,11259
2020-09-04 15:00:00,SUSHIUSDT,4.726,4.75,4.345,4.63,506653.761,2299297.068533,5998
2020-09-04 16:00:00,SUSHIUSDT,4.63,4.932,4.421,4.763,570034.906,2651542.04183,7114
2020-09-04 17:00:00,SUSHIUSDT,4.757,4.807,4.58,4.626,276160.277,1297421.197182,3714
2020-09-04 18:00:00,SUSHIUSDT,4.623,4.72,4.468,4.72,207982.703,954344.120419,3115
2020-09-04 19:00:00,SUSHIUSDT,4.72,4.85,4.64,4.705,369716.128,1750423.4383,6075
2020-09-04 20:00:00,SUSHIUSDT,4.705,4.733,4.55,4.687,249942.155,1163781.144393,4827
2020-09-04 21:00:00,SUSHIUSDT,4.679,4.75,4.633,4.683,195787.679,918945.089059,3012
2020-09-04 22:00:00,SUSHIUSDT,4.686,4.714,4.442,4.516,322196.988,1474201.968502,5027
2020-09-04 23:00:00,SUSHIUSDT,4.516,4.639,4.43,4.562,214471.708,972195.919202,3764
2020-09-05 00:00:00,SUSHIUSDT,4.561,4.807,4.518,4.782,357403.609,1672316.349242,4848
2020-09-05 01:00:00,SUSHIUSDT,4.771,4.924,4.7,4.873,456486.468,2199177.59109,5614
2020-09-05 02:00:00,SUSHIUSDT,4.874,5.059,4.7,4.84,535947.12,2626610.272651,6863
2020-09-05 03:00:00,SUSHIUSDT,4.837,5.053,4.65,4.713,590539.557,2843906.241264,6881
2020-09-05 04:00:00,SUSHIUSDT,4.714,4.782,4.581,4.609,348151.897,1629107.562959,5362
2020-09-05 05:00:00,SUSHIUSDT,4.608,4.685,4.426,4.451,233647.691,1062746.891926,3963
2020-09-05 06:00:00,SUSHIUSDT,4.45,4.499,4.331,4.43,397712.215,1760292.495573,5836
2020-09-05 07:00:00,SUSHIUSDT,4.427,4.428,4.0,4.078,899185.606,3758984.421616,11211
2020-09-05 08:00:00,SUSHIUSDT,4.08,4.1,3.52,3.529,1380604.499,5195383.597712,14929
2020-09-05 09:00:00,SUSHIUSDT,3.524,3.573,2.821,2.847,3725116.028,11628761.533403,34066
2020-09-05 10:00:00,SUSHIUSDT,2.848,3.09,2.766,2.9,2550456.387,7516148.683321,25862
2020-09-05 11:00:00,SUSHIUSDT,2.9,3.01,2.586,2.731,2078693.883,5803206.476752,20681
2020-09-05 12:00:00,SUSHIUSDT,2.728,2.745,1.864,2.004,5674427.552,12613581.932893,39456
2020-09-05 13:00:00,SUSHIUSDT,2.012,2.453,1.979,2.411,4144833.64,9351504.845113,26965
2020-09-05 14:00:00,SUSHIUSDT,2.41,2.419,2.16,2.251,2229097.605,5074689.34103,16996
2020-09-05 15:00:00,SUSHIUSDT,2.248,2.342,2.193,2.249,1423997.541,3233837.301183,9481
