Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
2020-09-17 03:00:00,UNIUSDT,0.3,15.0,0.3,3.0072,5926008.35,19384637.260099,29799
2020-09-17 04:00:00,UNIUSDT,3.0001,3.02,2.3521,2.6383,3802775.0,9911644.642249,17316
2020-09-17 05:00:00,UNIUSDT,2.6384,2.9113,2.4205,2.5119,3180398.24,8425899.67797,19161
2020-09-17 06:00:00,UNIUSDT,2.5174,3.8111,2.4356,3.6961,8615407.53,28385785.131514,47819
2020-09-17 07:00:00,UNIUSDT,3.696,4.5,3.31,3.408,8877111.17,34116149.879234,59496
2020-09-17 08:00:00,UNIUSDT,3.4047,3.6391,2.8258,2.8805,6427479.75,20748249.205778,37955
2020-09-17 09:00:00,UNIUSDT,2.8917,3.1785,2.7377,2.9656,5116411.07,15067645.661297,34781
2020-09-17 10:00:00,UNIUSDT,2.9656,3.2,2.88,2.9778,4095038.39,12460596.626579,28730
2020-09-17 11:00:00,UNIUSDT,2.9701,3.11,2.8001,2.874,2548141.96,7421591.802082,18116
2020-09-17 12:00:00,UNIUSDT,2.8711,2.8758,2.4501,2.6022,5361570.03,14024294.992646,31159
2020-09-17 13:00:00,UNIUSDT,2.605,2.9748,2.55,2.8716,4092670.03,11320930.16451,26188
2020-09-17 14:00:00,UNIUSDT,2.881,2.9332,2.7168,2.9329,2780211.99,7888147.305614,19331
2020-09-17 15:00:00,UNIUSDT,2.9329,3.2621,2.91,2.9976,5348209.36,16536698.437128,35517
2020-09-17 16:00:00,UNIUSDT,2.9975,3.6699,2.95,3.5909,5385474.92,17679024.476228,37260
2020-09-17 17:00:00,UNIUSDT,3.5909,3.9572,3.48,3.612,8170933.75,30302538.864166,55028
2020-09-17 18:00:00,UNIUSDT,3.612,3.7656,3.2386,3.4777,5842102.0,20250064.824027,40563
2020-09-17 19:00:00,UNIUSDT,3.4782,3.6394,3.338,3.5044,3116620.68,10895558.929645,22191
2020-09-17 20:00:00,UNIUSDT,3.504,3.8764,3.4601,3.69,3766868.94,14028861.457634,27062
2020-09-17 21:00:00,UNIUSDT,3.6835,3.7789,3.5124,3.5981,2320519.07,8461565.186716,18395
2020-09-17 22:00:00,UNIUSDT,3.5981,3.6467,3.0861,3.1912,3680804.96,12221244.225713,25968
2020-09-17 23:00:00,UNIUSDT,3.1912,3.6315,3.187,3.4617,4142465.4,14197940.175015,28945
2020-09-18 00:00:00,UNIUSDT,3.4618,3.6772,3.3723,3.3827,2231217.57,7792768.80223,18476
2020-09-18 01:00:00,UNIUSDT,3.3811,3.4302,3.2285,3.3794,1488414.72,4964059.774546,12599
2020-09-18 02:00:00,UNIUSDT,3.3794,3.75,3.301,3.6616,2359747.11,8361004.795103,15327
2020-09-18 03:00:00,UNIUSDT,3.6675,4.21,3.5557,4.1016,5052327.98,19751632.685356,34549
2020-09-18 04:00:00,UNIUSDT,4.1,4.8,4.0531,4.45,9080675.21,40664549.556785,60290
2020-09-18 05:00:00,UNIUSDT,4.451,4.74,4.21,4.6013,4852634.86,21695973.29099,38265
2020-09-18 06:00:00,UNIUSDT,4.602,5.38,4.45,5.1699,8424160.58,41975639.408582,62914
2020-09-18 07:00:00,UNIUSDT,5.1614,5.9,5.0,5.7929,8524427.38,46831264.96623,66384
2020-09-18 08:00:00,UNIUSDT,5.7936,5.799,4.72,5.1173,9435014.8,48934255.713513,77829
2020-09-18 09:00:00,UNIUSDT,5.13,5.4803,4.857,5.1668,4954962.22,25718422.214828,46120
2020-09-18 10:00:00,UNIUSDT,5.1638,5.332,4.97,5.1866,3442939.66,17857152.260299,34373
2020-09-18 11:00:00,UNIUSDT,5.1886,5.3139,4.7518,4.816,3690524.8,18600742.263444,37477
2020-09-18 12:00:00,UNIUSDT,4.8158,5.205,4.8158,5.1516,3562783.6,17865789.940813,35041
2020-09-18 13:00:00,UNIUSDT,5.1515,5.7,5.1328,5.4926,5994249.19,32423398.76369,56707
2020-09-18 14:00:00,UNIUSDT,5.4928,5.99,5.335,5.8909,6213754.27,35062117.718615,53774
2020-09-18 15:00:00,UNIUSDT,5.8912,6.7857,5.745,6.3691,15622675.68,97539720.852742,113183
2020-09-18 16:00:00,UNIUSDT,6.3692,7.14,6.156,7.0675,8427949.51,55448966.35931,76023
2020-09-18 17:00:00,UNIUSDT,7.0683,7.99,6.76,7.7166,13099703.56,96005094.224017,108820
2020-09-18 18:00:00,UNIUSDT,7.7178,8.6,6.3506,6.6277,19877057.01,146301952.736817,194970
2020-09-18 19:00:00,UNIUSDT,6.6299,7.11,6.2,6.4162,7169315.74,48187851.646135,74661
2020-09-18 20:00:00,UNIUSDT,6.4198,6.969,6.0166,6.8228,7291896.34,47257270.365633,75840
2020-09-18 21:00:00,UNIUSDT,6.8228,7.4714,6.5352,7.3428,5716416.54,40370622.639806,67414
2020-09-18 22:00:00,UNIUSDT,7.3429,7.7683,7.0243,7.737,4992922.91,37044766.380647,56296
2020-09-18 23:00:00,UNIUSDT,7.74,7.75,6.6439,6.9,6162135.73,43384633.677565,69261
2020-09-19 00:00:00,UNIUSDT,6.9,7.45,6.8999,7.077,3420203.16,24617071.317994,44461
2020-09-19 01:00:00,UNIUSDT,7.0864,7.2901,6.3053,6.5771,4274020.3,28872854.527113,52113
2020-09-19 02:00:00,UNIUSDT,6.5775,6.8,6.2,6.3826,2791272.25,18297895.338751,39560
2020-09-19 03:00:00,UNIUSDT,6.3826,6.595,6.125,6.1763,2827311.1,17899324.175561,37807
2020-09-19 04:00:00,UNIUSDT,6.1722,6.8,6.155,6.6279,2811990.26,18346348.893873,38937
2020-09-19 05:00:00,UNIUSDT,6.623,7.1,6.558,6.83,3150908.44,21520185.855383,42328
2020-09-19 06:00:00,UNIUSDT,6.8298,6.884,6.3407,6.5769,2793883.77,18324540.646846,39711
2020-09-19 07:00:00,UNIUSDT,6.5769,6.633,6.2559,6.3247,1742638.79,11260975.387331,25167
2020-09-19 08:00:00,UNIUSDT,6.3207,6.61,6.26,6.5646,2077467.03,13383124.532501,26784
2020-09-19 09:00:00,UNIUSDT,6.5646,6.9446,6.52,6.8052,2763894.98,18617383.91831,35033
2020-09-19 10:00:00,UNIUSDT,6.8001,6.81,6.455,6.6369,2064017.68,13652198.480243,27577
2020-09-19 11:00:00,UNIUSDT,6.637,7.38,6.6,7.2472,5303233.64,37863951.096629,59120
2020-09-19 12:00:00,UNIUSDT,7.2474,7.29,6.836,7.1398,3227457.84,22813801.627861,39364
2020-09-19 13:00:00,UNIUSDT,7.1398,7.4963,7.129,7.221,3315109.16,24271839.614689,42921
2020-09-19 14:00:00,UNIUSDT,7.224,7.23,6.6916,6.8263,2514025.56,17634376.716715,34177
2020-09-19 15:00:00,UNIUSDT,6.8263,6.9134,6.5752,6.7116,2597829.41,17519448.49899,32508
2020-09-19 16:00:00,UNIUSDT,6.7194,6.9229,6.37,6.3739,2911725.4,19385286.167814,36245
2020-09-19 17:00:00,UNIUSDT,6.3741,6.58,6.0134,6.1105,4056093.39,25634236.45639,48130
2020-09-19 18:00:00,UNIUSDT,6.115,6.1605,5.601,6.127,6841269.4,40240613.718788,78071
2020-09-19 19:00:00,UNIUSDT,6.127,6.2803,5.7907,5.8792,4541806.62,27482080.755636,44567
2020-09-19 20:00:00,UNIUSDT,5.8792,6.1733,5.8214,5.9802,1843296.1,11088896.731767,25882
2020-09-19 21:00:00,UNIUSDT,5.9776,5.9812,5.4511,5.6836,3299516.43,18899994.905668,38510
2020-09-19 22:00:00,UNIUSDT,5.6878,5.723,5.19,5.59,5664484.33,30866774.135153,59972
2020-09-19 23:00:00,UNIUSDT,5.5966,5.8366,5.503,5.7244,2981056.62,16956976.492348,30098
2020-09-20 00:00:00,UNIUSDT,5.7244,5.8,5.5,5.6314,1737244.1,9800476.709579,22526
2020-09-20 01:00:00,UNIUSDT,5.6314,5.6379,5.28,5.5195,2269504.5,12302631.195178,25988
2020-09-20 02:00:00,UNIUSDT,5.5179,5.774,5.4602,5.5785,2128548.1,12057546.361199,27910
2020-09-20 03:00:00,UNIUSDT,5.5782,6.09,5.4622,5.9565,2632898.75,15433469.474363,35701
2020-09-20 04:00:00,UNIUSDT,5.9562,6.0259,5.7401,5.9666,1531658.41,9012388.887951,22406
2020-09-20 05:00:00,UNIUSDT,5.9666,5.9689,5.7448,5.8291,1262522.12,7356306.86097,16670
2020-09-20 06:00:00,UNIUSDT,5.832,5.84,5.55,5.56,1442757.24,8173264.145256,17059
2020-09-20 07:00:00,UNIUSDT,5.565,5.795,5.5524,5.6264,1165309.41,6625191.461298,12908
2020-09-20 08:00:00,UNIUSDT,5.6264,5.6761,5.46,5.519,1810991.14,10083875.602364,17138
2020-09-20 09:00:00,UNIUSDT,5.5134,5.7694,5.4718,5.6773,1314433.66,7393437.07437,14071
2020-09-20 10:00:00,UNIUSDT,5.6773,5.8499,5.6047,5.762,1605474.79,9217877.464732,16526
2020-09-20 11:00:00,UNIUSDT,5.762,5.7869,5.5743,5.67,977708.23,5533275.369428,11354
2020-09-20 12:00:00,UNIUSDT,5.67,5.67,5.3,5.3753,2427330.13,13180641.481966,26134
2020-09-20 13:00:00,UNIUSDT,5.3753,5.3788,5.0194,5.2,4195961.66,21657331.662084,41807
